Company name,Booth number,Company location,Twitter,Linkedin,Facebook,Website,Description,Focus areas
Wales,Booth 2085,"PONTYPRIDD, United Kingdom",,https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fshowcase%2Ftrade-%26-invest-wales%2Fabout%2F,,https://tradeandinvest.wales/,"The Welsh Life Sciences industry currently employs more than 12,000 people, in over 260 companies ranging from SMEs and start-ups to large blue chips, with an approximate turnover of £2.6bn. With world-leading academic expertise and a central Life Sciences Hub, Wales demonstrates a strong competitive advantage in Medtech, Diagnostics, Wound Healing, Regenerative Medicine and Cell Therapy and is already creating a world-leading Regenerative Medicine ecosystem, which includes academics, the NHS, Government and centres of excellence. 75% of the life sciences market is export focussed with Welsh companies supplying their products and services to markets all around the World. Wales is here at Bio to promote that capability and support those export sales.",Regional/Economic Development
U.S. Army Medical Research and Development Command,Booth 3375,"Tulsa, Oklahoma, United States",,https://linkedin.com/company/65452058,,https://mrdc.amedd.army.mil/,"To learn more about DoD funded grants, contracts, and products join these information sessions.","Preclinical, Clinical, Market - Drug (on patent), Patient Monitoring Device, Research Technology, Bioinformatics, Digital Health, VC/PE, Regional/Economic Development"
North Carolina Biotechnology Center,Booth 235,"Research Triangle Park, North Carolina, United States",https://twitter.com/ncbiotech,https://www.linkedin.com/company/28700,https://www.facebook.com/ncbiotech,http://ncbiotech.org,"North Carolina has nurtured and invested in its life sciences sector since the dawn of biotechnology four decades ago, resulting in its position today as a global life sciences leader. Biomanufacturing, gene and cell therapy, regenerative medicine and clinical services are among the state’s core strengths.",
Trade Estonia,Booth 3145,"Tallinn, Estonia",,,,http://tradewithestonia.com,,Regional/Economic Development
New Jersey,Booth 651,"Trenton, New Jersey, United States",,https://www.linkedin.com/company/bionj/,,http://www.bionj.org,"BioNJ is the life sciences trade association for New Jersey, representing close to 400 research-based life sciences organizations across the healthcare ecosystem from the largest biopharmaceutical companies to early stage start-ups for nearly 30 years. Because Patients Can’t Wait®, BioNJ is dedicated to ensuring a vibrant ecosystem where Science is Supported, Companies are Created, Drugs are Developed and Patients Have Access to Lifesaving Medicines.",Regional/Economic Development
3P Biopharmaceuticals,Booth 1255,"Noain, Spain",https://twitter.com/3PBio,https://www.linkedin.com/company/3p-biopharmaceuticals,,https://www.3pbio.com/,,"CRO & Analytical Labs, CMO"
The Abu Dhabi Pavilion,Booth 2649,"Abu Dhabi, United Arab Emirates",,,,http://doh.gov.ae,,"Research Technology, Digital Health, Hedge Fund/Mutual Fund, Tech Transfer, Research Institute, Foundation/Patient Advocacy, Incubator/Technology Park, Regional/Economic Development, Associations"
Istanbul Health Industry Cluster Association,,"Istanbul, Turkey",,,,http://www.i-sek.org,,
24GENETICS SL.,Booth 443,"Madrid, Spain",,,,,,
Thailand Pavilion,Booth 645,"Bangkok, Thailand",,,,http://www.tcels.or.th,,Regional/Economic Development
Taiwan Pavilion,"Booth 743, 843","Taipei, Taiwan",,,,https://www.bravotaiwan.tw/,"The biomedical industry is one of the six core strategic industries in Taiwan. It is an important power for Taiwan to play the leading role in global economy. With rich experiences of research, development and manufacturing, Taiwan excels in high-tech fields, clinical trials and biologics production. Continuing R&D support from government has created highly skilled workforce to innovate and advance the industry. Besides, Taiwan's strategic location and grown-up supply chain make it an ideal partner for worldwide collaboration.","Preclinical, Clinical, Market - Drug (on patent), Molecular/Cellular Diagnostics, Drug Delivery Device, Patient Monitoring Device, Digital Health, CMO, Tech Transfer, Research Institute"
SWISS BIOTECH Pavilion,Booth 1743,"Zurich, Zurich, Switzerland",https://twitter.com/SGE,https://www.linkedin.com/company/switzerland-global-enterprise/,https://facebook.com/enablingnewbusiness,http://www.swissbiotech.org,"The SWISS BIOTECH Pavilion presents 47 innovative Swiss biotech companies, start-ups and organizations under the roof of Switzerland. Check out this link to find out more about them: https://www.s-ge.com/de/exhibitors?k=&fair%5B%5D=1899",Associations
South Carolina,Booth 3043,"Greenville, South Carolina, United States",https://twitter.com/SCBiotech,https://www.linkedin.com/company/scbio/,https://www.facebook.com/SCarBIO,http://www.scbio.org,"South Carolina's fastest growing sector of the knowledge economy is the life sciences industry. Led by SCbio, the state's lead economic development and industry trade association for the life sciences, we look forward to connecting with you. South Carolina's pavilion will have multiple high-growth companies as well as our leading research universities and other partners looking for business opportunities.","University (Faculty), Regional/Economic Development, Associations"
3BIO,Booth 1664,"Sint-Martens-Latem, Belgium",,,,,,
South Africa,Booth 2043,"Pretoria, South Africa",,,,http://www.dst.gov.za,,"Preclinical, Animal Health & Research, CRO & Analytical Labs, Consulting, Research Institute, Incubator/Technology Park, Associations"
UK Pavilion,Booth 2348,"Westminster, London, United Kingdom",https://twitter.com/tradegovuk,https://www.linkedin.com/company/department-for-business-and-trade/,,http://www.great.gov.uk,"The (UK’s) Department for Business and Trade (DBT) helps businesses export, drives inward and outward investment, negotiates market access and trade deals, and champions free trade.",
195 Redevelopment District,Booth 1985,"Providence, Rhode Island, United States",,,,http://195district.com,,
Trade Commission of Spain - Spain Pavilion (CIF: Q2891001F),Booth 443,"Chicago, Illinois, United States",,,,http://www.spainbusiness.com,"The Trade Commission of Spain in Chicago and ICEX Spain Trade and Investment facilitate biotechnology and life science companies among other industrial firms, the access to find suitable partners in the U.S. and investment opportunities in Spain.","Preclinical, Clinical, Molecular/Cellular Diagnostics, Drug Delivery Device, Non Drug Delivery Device, Digital Health, Energy (Biofuels), Crop Production & enhancement, Regional/Economic Development, Associations"
State of Maine,Booth 2185,"Portland, Maine, United States",,https://www.linkedin.com/company/maine-bioscience/,,https://biomaine.org/,"Bioscience Association of Maine (BioME) is a trade organization which promotes the industry’s steady growth, interprets its benefits to the public, and influences pertinent public policy.",
Rhode Island Commerce Corporation,Booth 1985,"Providence, Rhode Island, United States",https://twitter.com/CommerceRI,https://www.linkedin.com/company/5040478/admin/,https://www.facebook.com/CommerceRI/,http://www.commerceri.com,We’re on a mission to help you achieve yours.,Regional/Economic Development
ABRACRO - Brazilian Association of CROs,Booth 1751,"São Paulo, São Paulo, Brazil",,https://www.linkedin.com/company/abracro,https://www.facebook.com/abracro,https://abracro.org.br/,"ABRACRO, Brazilian Association of CROs, is a non-profit association that brings together and represents CROs established in Brazil, to contribute to the improvement of the regulatory processes of clinical research in the country and stimulate the development of scientific and educational activities linked to the sector.",Associations
ABL Inc.,Booth 3675,"Rockville, Maryland, United States",,https://www.linkedin.com/company/abl-inc/,,http://www.ablinc.com,"Founded in 1961, Advanced BioScience Laboratories (ABL) is a contract research organization (CRO) and contract development and manufacturing organization (CDMO) with a strong core of product development expertise, GMP manufacturing, and immunological testing capabilities. We partner with our clients to support advancement of their candidate vaccines and therapeutics through preclinical and clinical development. As a comprehensive Immunology CRO, our services encompass the full scope of immunological response to support advancement of therapeutics and vaccines from discovery through preclinical and clinical development. Through our work over the years, ABL has developed a broad range of Immunological, virological and PCR-based assays across multiple platforms to support preclinical and clinical studies for a variety of indications and treatments, including infectious diseases, oncology, neurodegenerative disorders, and cell & gene therapies. ABL is a subsidiary of the Institut Mérieux, with sites in France and the United States.","CRO & Analytical Labs, CMO"
Absci,Booth 3355,"Vancouver, Washington, United States",https://twitter.com/abscibio,https://www.linkedin.com/company/absci,,http://absci.com,"Absci is a generative AI drug creation company that combines AI with scalable wet lab technologies to create better biologics for patients, faster. Our Integrated Drug Creation™ platform unlocks the potential to accelerate time to clinic and increase the probability of success by simultaneously optimizing multiple drug characteristics important to both development and therapeutic benefit. With the data to train, the AI to create, and the wet lab to validate, we can screen billions of cells per week, allowing us to go from AI-designed antibodies to wet lab-validated candidates in as little as six weeks. Our vision is to deliver breakthrough therapeutics at the click of a button, for everyone. Absci’s headquarters is in Vancouver, WA, with our AI Research Lab in New York City and an Innovation Center in Zug, Switzerland. Visit us at www.absci.com/partnerships to learn more.",Preclinical
Abzena,Booth 379,"Cambridge, United Kingdom",https://twitter.com/abzenagroup,https://www.linkedin.com/company/abzena,,http://www.abzena.com,"Abzena is a bioconjugate- and biologics-focused CDMO that pushes development of novel treatments forward at every stage from discovery through commercial launch. With the ability to tailor its strategy and customer experience to each project, Abzena develops and implements innovative solutions that enable biotech and biopharma companies to realize the full potential of their investments in human health. The company has research, development, and cGMP facilities across locations in San Diego, CA, Bristol, PA, and Cambridge, UK.","Preclinical, Clinical, Market - Drug (on patent), CRO & Analytical Labs, CMO"
Abartys Health,Booth 2335,"San Juan, Puerto Rico, United States",,https://www.linkedin.com/company/abartys-health/,,http://abartyshealth.com,"Abartys Health has built a secure, privacy-compliant platform to improve healthcare data interoperability between clinical laboratories, patients, providers, and health insurance plans. We have established partnerships with the major lab information systems, including connections to over 800 clinical laboratories in Puerto Rico, and in 2023 expanded this model successfully to the Dominican Republic, Mexico, and US markets.","Digital Health, CRO & Analytical Labs"
ABL INSTITUT MERIEUX COMPANY,Booth 951,"LYON, Auvergne-Rhone-Alpes, France",,,,,,
ABIQUIFI,Booth 1751,"São Paulo, São Paulo, Brazil",,,,,,
Abu Dhabi Investment Office,Booth 2649,"Abu Dhabi, United Arab Emirates",,,,,,
A4cell,Booth 443,"Pozuelo de Alarcón, Spain",,https://www.linkedin.com/company/arrays-for-cell-nanodevices-sl/,,http://www.a4cell.com,,
ABCheck s.r.o.,Booth 2075,"Pilsen, Czech Republic",,,,http://www.abcheckantibodies,,Research Technology
"ACRO Biomedical Co., Ltd.",Booth 743,"Kaohsiung City, Taiwan",,https://www.linkedin.com/company/acrobiomedical/,https://www.facebook.com/acrobiomedical/,http://acrobiomedical.com,"ACRO Biomedical develops and produces biomaterial medical devices for human tissue engineering and regenerative medicine (TERM). ACRO Biomedical uses its proprietary supercritical CO₂ extraction technology to remove cells, fat and non-collagenous proteins from animal tissues, while keeping the undiminished collagen scaffold as the biomaterial for high-end medical devices in the medical regenerative field of wound care, orthopedics, dentistry, ophthalmology, aesthetic microsurgery, cardiovascular and neural surgery, etc.","Non Drug Delivery Device, Tech Transfer, Research Institute"
AcouSort AB,Booth 1575,"Lund, Sweden",,https://www.linkedin.com/company/acousort-ab/,,,"AcouSort is an innovative technology company with high focus on products and solutions for automated preparation of biological samples for researchers and life science companies. The core technology is acoustofluidics where a combination of microfluidics and sound waves is used to separate blood into its components, to isolate and purify cells and extracellular vesicles and to perform rapid biochemical reactions.","Molecular/Cellular Diagnostics, Research Technology, Instrumentation"
"aceRNA Technologies Co., Ltd.",Booth 1353,"Kyoto, Japan",,https://www.linkedin.com/company/acerna-technologies,,http://acernatec.com,"aceRNA Technologies is developing next-generation mRNA technology that enables control of therapeutic transgene expression in a cell-specific manner. Our proprietary technology is “RNA switchTM”, which utilizes the ability of microRNA to cleave mRNA. We have developed two types of RNA switches; “OFF type” and “ON type”. OFF type is designed to turn OFF transgene expression when a specific microRNA binds to the binding site on the switch. On the other hand, ON type is designed to turn ON transgene expression when a specific microRNA binds to the binding site on the switch. RNA switch can have multiple microRNA binding sites tandemly and make programmable mRNA therapy such as NOT/OR conditions by designing the microRNA binding sites. As an example, the OFF type can reduce liver expression by turning off transgene in response to liver-specific microRNAs, while the ON type can turn on therapeutic transgene in response to microRNAs specific to disease-associated cells, such as cancer cells.",Preclinical
AbbraTech,Booth 534,"Branford, Connecticut, United States",,,,http://www.abbratech.com,,
Academia Sinica,Booth 743,"Taipei, Taiwan",,,https://www.facebook.com/sinicaedu/,https://www.sinica.edu.tw/en,"Academia Sinica has adopted various measures to promote the internal integration of research activities in its three Divisions (Mathematics and Physical Sciences, Life Sciences, and Humanities and Social Sciences) so as to fulfill the following goals:","Preclinical, Clinical, Molecular/Cellular Diagnostics, Bioinformatics, Tech Transfer, Research Institute, Incubator/Technology Park"
A4Bee,Booth 3453,"Warsaw, Poland",,,,https://a4bee.com/,,
A-membranes,Booth 1664,"Leuven, Belgium",,https://www.linkedin.com/company/a-membranes,,https://a-membranes.com/,,
Aché,Booth 1751,"Guarulhos, São Paulo, Brazil",,,,https://www.ache.com.br/,,
AcademicLabs,Booth 1664,"Ghent, Belgium",,https://www.linkedin.com/company/academiclabs,,http://academiclabs.com,"Easily find and connect with the world's scientific experts and rising stars to collaborate, consult, monitor, license a technology, sell, or recruit.",Research Technology
ACLIRES Bangkok Ltd.,Booth 645,"Bangkok, Thailand",,,,http://aclires.com,,
ACROBiosystems/bioSeedin,Booth 1245,"Newark, Delaware, United States",,,,http://www.acrobiosystems.com,,"Preclinical, Clinical, Molecular/Cellular Diagnostics, VC/PE, Angel or Family Office, CRO & Analytical Labs"
Acthera Therapeutics Ltd,Booth 1743,"Basel, Basel-Stadt, Switzerland",,https://www.linkedin.com/company/actheratherapeutics,,https://acthera-therapeutics.com/,"Acthera Therapeutics is a Swiss biotech startup, developing a unique and innovative type of mechano-responsive hard-shelled liposomes (HSL), for the targeted and controlled delivery of drugs. HSL are based on a patented synthetic lipid and release their payload when submitted to pathologically high shear stress. This enables the local delivery of an active thrombolytic drug at the site of an acute thrombotic obstruction leading to an acute cardiovascular event, such as acute myocardial infarction (AMI) or acute ischemic stroke (AIS). The local delivery will increase both the efficacy and safety if the pharmacological reperfusion therapy, and solve the current undertreatment, low efficacy and high risk associated with the currently available drugs. Our HSL-based thrombolytic agent is designed to meet the medical need of millions of patients who are currently dying or left with disability due to an acute cardiovascular event.",Preclinical
AGC Biologics,"Booth 3365, 3369","Bothell, Washington, United States",https://twitter.com/AGCBiologics,https://www.linkedin.com/company/agcbiologics,,http://www.agcbio.com,"AGC Biologics is a global CDMO providing pharmaceutical development and manufacturing services for protein-based biologics and cell and gene therapies. With seven facilities and teams of scientists across three continents, we have the resources and the available capacity you need to accelerate your race to GMP. From development, to clinical trials, to full-scale commercialization, we can help you reach your goals at any stage in the drug development and manufacturing process. We specialize in the following modalities and substances, mammalian and microbial-based therapeutic proteins, recombinant DNA, plasmid DNA (pDNA), viral vectors, Messenger RNA (mRNA) and genetically engineered cells. Our services range from Process Development, Analytical Development, cGMP Manufacturing, Quality Control and Quality Assurance and Process Validation. We forge exceptionally strong partnerships with our clients and we never lose sight of our commitment to deliver reliable and compliant drug substance.","Preclinical, Clinical, Market - Drug (on patent), Market - Generics/OTC, Animal Health & Research, CRO & Analytical Labs, CMO, Tech Transfer"
Afton Scientific,Booth 3387,"Charlottesville, Virginia, United States",,,,http://www.aftonscientific.com,Afton Scientific is a highly-experienced cGMP CMO specializing in sterile injectables.,"CRO & Analytical Labs, CMO"
Adamed Pharma S.A.,Booth 3453,"Czosnow, Poland",,,,https://www.adamed.com/en/main-page,,
Aenova,Booth 2938,"Greensboro, North Carolina, United States",,,,http://www.aenova-group.com,The Aenova Group is a leading global contract manufacturer and development services provider for the pharmaceutical and healthcare industry. Our services include end-to-end manufacturing and development of all dosage forms and potency levels (ranging from nutraceuticals to high-potents) out of 15 sites in Europe and the US.,CMO
"AES Clean Technology, Inc.",Booth 2534,"Montgomeryville, Pennsylvania, United States",,https://www.linkedin.com/company/aes-clean-technology/,,http://www.aesclean.com,AES is a dedicated life sciences partner that has continued to be the most trusted name in cleanrooms for over 35 years.,Consulting
Advaxia Biologics,Booth 3180,"Pomezia, Rome, Italy",,https://www.linkedin.com/company/advaxia/,,http://www.advaxia.com,"Advaxia Biologics (formerly Advent), part of the IRBM group, is a cGMP Contract Development & Manufacturing Organization (CDMO), located near Rome (Pomezia) Italy, compliant with the regulatory guidelines of the EMA, MHRA and FDA.","Preclinical, Clinical, CRO & Analytical Labs, CMO, Legal, Consulting, Marketing/Market Research, Tech Transfer, Research Institute, Foundation/Patient Advocacy"
